firmhash,firm,number_of_words,number_of_unique_words,n_sentence,ambiquity_score,gunning_fog_score
10238564,ConocoPhillips,6139,1262,111,0.03453331161,24.6
99007911,Honeywell International,109429,26232,1583,0.002357693116,30.18
95830263,World Fuel Services,6095,1154,106,0.04446267432,24.68
47744325,Massachusetts Mutual Life,2602,691,75,0.04150653344,16.42
10940099,Progressive,483,248,14,0.01449275362,17.47
71942107,Deere,3636,925,108,0.03052805281,15.95
59705430,Oracle,4505,983,68,0.03418423973,28.23
31281210,TIAA,2377,732,54,0.02566259992,20.48
24984086,TJX,1710,525,26,0.04035087719,29.44
25243892,Liberty Mutual Insurance Group,2095,658,30,0.02673031026,30.77
50025160,United Airlines Holdings,40084,1377,789,0.03562518711,20.19
60987513,Best Buy,2896,808,58,0.04040055249,22.2
95760748,Nationwide,3726,830,107,0.03945249597,15.78
62824499,New York Life Insurance,328,189,4,0.01524390244,36.87
77223592,Allstate,4602,1029,93,0.02890047805,22.01
7684579,Charter Communications,1105,611,18,0.004524886878,31.85
73347725,American Airlines Group,5992,1168,110,0.03838451268,23.71
11663411,Merck,1010,516,19,0.02079207921,26.48
33131762,Delta Air Lines,11965,1621,121,0.02691182616,40.27
39511968,American Express,3664,889,58,0.03084061135,27.27
61173779,American International Group,5072,1114,46,0.02937697161,45.57
17081064,HCA Healthcare,12439,2838,225,0.02516279444,24.54
89802512,Pfizer,4125,988,87,0.03539393939,21.51
93968555,Cisco Systems,3330,877,66,0.02942942943,22.9
81280069,Caterpillar,15068,3000,282,0.02482081232,23.48
92536935,Morgan Stanley,2672,768,46,0.02058383234,26.23
48599151,Goldman Sachs Group,1522,460,26,0.02628120894,26.21
94341056,HP,5309,1298,90,0.03202109625,25.61
17368181,Prudential Financial (U.S.),1767,567,36,0.0220713073,22.79
92380288,Humana,977,268,15,0.01842374616,28.24
48056767,Procter & Gamble,8105,1786,158,0.03479333745,22.3
55529641,Walt Disney,4331,766,52,0.02262756869,33.03
32700926,MetLife,2098,652,51,0.03098188751,19.64
31132966,FedEx,3612,835,67,0.04125138427,23.85
79142021,Facebook,3977,800,77,0.03721398039,21.92
56495473,Intel,5279,1191,100,0.03750710362,23.81
40837856,Lowe’s,5138,1173,92,0.04126119112,24.93
90714086,UPS,5528,997,81,0.03400868307,29.17
3894558,Centene,1321,434,47,0.03785011355,14.15
18282660,Freddie Mac,2481,631,46,0.02660217654,24.17
73313709,IBM,1956,561,45,0.04192229039,20.75
69858041,Target,5515,1133,95,0.02792384406,25.24
55229784,State Farm Insurance,1958,639,30,0.02808988764,28.43
16922709,Johnson & Johnson,4655,938,70,0.02964554243,28.73
83192852,Dell Technologies,1032,441,2,0.02519379845,215.65
84482324,General Electric,4055,922,44,0.02490752158,38.08
90987102,Valero Energy,2826,783,67,0.02972399151,20.16
96185568,Citigroup,3992,890,61,0.03281563126,28.38
20224692,Wells Fargo,1985,539,51,0.03778337531,18.27
31743452,Anthem,813,316,25,0.036900369,15.88
82475883,Comcast,1467,440,42,0.0327198364,16.45
60549119,Phillips 66,2037,560,35,0.03632793324,25.78
36053009,Home Depot,7907,1172,54,0.02883520931,57.91
4802185,Bank of America,3193,670,47,0.0328844347,28.72
59997007,Fannie Mae,4129,865,85,0.03923468152,21.25
1710396,Marathon Petroleum,1908,538,30,0.02987421384,27.43
