"firmhash","firm","url","ranking","industry","sector","revenue_in_millions","profits_in_millions","market_value_in_millions","n_employees","reputation_score_2020","reputation_score_2019","reputation_score_growth","n_sentence","number_of_words","number_of_unique_words","ambiquity_score","gunning_fog_index","n_data_breaches","last_available_year","date_of_incorporation","stock_turnover","age_in_years","return_on_assets","number_of_reviews","rating_overall_employer","values_culture","diversity_inclusion","work_balance_life","management_senior","compensation_benefits","opportunities_career","female_male","number_of_shareholder_proposals","privacy_exists_policy","of_a_existence_report_transparency","option_contact","legislation_complied_with","third_party_sharing","protection_of_data_a_existence_officer","type_iso","privacy_url_policy"
31897534,"Adobe","https://www.adobe.com",285,"Computer Software","Technology",12868.0,5260.0,224860.0,22516,"7.39","","",140.0,4561.0,922.0,0.0361762771,24.8709374511,2,2020.0,"1997-05-09",5.27,24.0,0.128628,5600,4.4,4.4,4.5,4.3,4.0,4.4,3.9,"1",1.0,1,1.0,1.0,"gdpr",1.0,1.0,1.0,"https://www.adobe.com/privacy/policy.html"
52654257,"Navistar International","https://www.navistar.com",284,"Construction and Farm Machinery","Industrials",11251.0,221.0,1640.6,12300,"","","",113.0,2073.0,732.0,0.020260492,20.4591336569,1,2020.0,"1993-05-26",9.83,28.0,-0.011417,1000,3.6,3.2,3.8,3.6,3.1,3.6,3.3,"1","",1,0.0,1.0,"standard",0.0,0.0,0.0,"https://www.navistar.com/navistar/privacypolicy"
59607113,"Norfolk Southern","https://www.norfolksouthern.com",283,"Railroads","Transportation",11296.0,2722.0,37537.3,24587,"","","",40.0,799.0,326.0,0.0337922403,19.2540801001,0,2020.0,"2009-08-24",44.29,11.7,0.05729,1200,2.4,1.9,2.6,1.8,1.8,3.6,2.5,"1",2.0,1,0.0,0.0,"standard",1.0,1.0,0.0,"http://www.norfolksouthern.com/content/nscorp/en/privacy.html"
29810937,"Baxter International","https://www.baxter.com",282,"Medical Products and Equipment","Health Care",11362.0,1001.0,41180.1,50000,"","","",31.0,504.0,252.0,0.003968254,20.8683051715,1,2020.0,"1931-10-19",6.09,89.7,0.061433,2500,3.7,3.5,4.0,3.5,3.1,3.8,3.2,"1",2.0,1,0.0,1.0,"standard",1.0,1.0,0.0,"https://www.baxter.com/policies-positions/global-privacy-policy"
13079849,"Universal Health Services","https://www.uhsinc.com",281,"Health Care: Medical Facilities","Health Care",11369.0,881.0,11193.0,79050,"6.40","6.86",-0.06705539358600582,109.0,2677.0,624.0,0.024654464,23.4361057325,1,2020.0,"1979-01-08",60.7,42.4,0.067575,664,3.4,3.1,3.6,2.9,2.9,3.4,3.6,"1","",1,0.0,0.0,"standard",0.0,1.0,0.0,"https://www.uhsinc.com/wp-content/uploads/2017/10/Privacy-26.0-Disclosure-Not-Requiring-Authorization-or-Opportunity-for-Patient-to-Agree-or-Object.pdf"
5107203,"Fox","https://www.foxcorporation.com",280,"Entertainment","Media",11389.0,1595.0,14142.9,7700,"","","",124.0,3237.0,729.0,0.0373802904,23.3798409519,1,2020.0,"2018-05-03",14.37,3.0,0.081676,31,3.7,3.9,4.1,3.8,3.7,4.0,3.6,"1","",1,0.0,1.0,"standard",1.0,1.0,0.0,"https://www.foxcorporation.com/privacy-policy/"
32106330,"Corning","https://www.corning.com",277,"Electronics, Electrical Equip.","Industrials",11503.0,960.0,15664.2,49500,"","","",63.0,1787.0,569.0,0.0324566312,24.6420586067,0,2020.0,"1936-12-24",4.64,84.5,0.028425,1300,3.7,3.5,3.8,3.2,3.3,3.9,3.6,"1","",1,0.0,1.0,"standard",1.0,0.0,0.0,"https://www.corning.com/worldwide/en/privacy-policy.html"
54537981,"Xcel Energy","https://www.xcelenergy.com",276,"Electric and Gas Utilities","Energy",11526.0,1473.0,34381.0,11295,"6.88","6.49",0.06009244992295835,20.0,639.0,309.0,0.0266040689,26.676713615,0,2020.0,"1909-06-17",21.54,112.1,0.025238,587,3.9,3.8,3.8,3.6,3.6,3.9,3.6,"1",1.0,1,0.0,0.0,"standard",1.0,1.0,1.0,"https://www.xcelenergy.com/billing_and_payment/customer_data_&_privacy/privacy_policy_and_customer_data_access"
49656933,"Live Nation Entertainment","https://www.livenationentertainment.com",275,"Entertainment","Media",4514.0,1442.0,16009.0,10500,"6.35","6.65",-0.04511278195488732,213.0,2849.0,627.0,0.0438750439,15.234404626,0,2020.0,"2005-08-02",84.6,15.7,-0.095844,1300,4.0,4.2,4.2,3.7,3.6,3.6,3.6,"1","",1,0.0,1.0,"standard",1.0,1.0,0.0,"https://help.livenation.com/s/article/Live-Nation-Entertainment-Privacy-Policy?language=en_US"
76452060,"Laboratory Corp. of America (Labcorp)","https://www.labcorp.com",274,"Health Care: Pharmacy and Other Services","Health Care",12443.0,845.0,22394.0,65000,"","","",63.0,1583.0,517.0,0.0265319015,24.1758726148,2,2020.0,"1994-03-08",33.03,27.2,0.10131,2500,3.4,3.0,3.7,3.1,2.8,3.3,3.2,"1",1.0,1,0.0,1.0,"standard",1.0,1.0,0.0,"https://www.labcorp.com/hipaa-privacy/website-privacy-policy"
