"firmhash","firm","sector","composite_relational_ig_practises","composite_formal_ig_practises","return_on_assets","log_n_employees","csr_index","sqrt_n_data_breaches","sqrt_age_in_years","dummy_sector_Health Care","dummy_sector_Technology","dummy_sector_Media","dummy_sector_Energy","dummy_sector_Financials","dummy_sector_Retailing","dummy_sector_Industrials","dummy_sector_Business Services","dummy_sector_Household Products","dummy_sector_Transportation","dummy_sector_Telecommunications"
31030789,"Fiserv","Business Services",0.4012072510781107,0.5,0.0162,10.691944912900398,0.0231294886,0.0,5.412947441089743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
75178419,"Liberty Media","Media",0.145672724150942,0.0,0.0355,8.817742129574842,0.0204623953,0.0,3.3763886032268267,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21406197,"Henry Schein","Health Care",0.3020141710332447,0.25,0.0491,9.852194258148575,0.015648549,0.0,5.338539126015656,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61421604,"Boston Scientific","Health Care",0.4677745180938112,0.25,0.023006,10.491274217438248,0.0206765935,1.0,6.48074069840786,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59476916,"Nvidia","Technology",0.5274521635373712,0.5,0.127993,9.530610634021116,0.0773589756,1.4142135623730951,4.8270073544588685,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37791241,"IQVIA Holdings","Health Care",0.399460914837476,0.5,0.021175,11.112447898373103,0.0539234712,0.0,2.1447610589527217,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28049975,"Leidos Holdings","Technology",0.4636213561028202,0.5,0.059134,10.51867319162636,0.0337525501,0.0,3.9749213828703582,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94835721,"Discovery","Media",0.3347278782856495,0.0,0.05131,9.126958763037132,0.0141306331,0.0,3.6193922141707713,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31897534,"Adobe","Technology",0.6654026017717967,0.75,0.128628,10.021981446583917,0.066709238,1.4142135623730951,4.909175083453431,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13079849,"Universal Health Services","Health Care",0.235445909458779,0.5,0.067575,11.277835842637618,-0.0078770902,1.0,6.519202405202649,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54537981,"Xcel Energy","Energy",0.2295669158655416,0.5,0.025238,9.332115428902105,0.0678227264,0.0,10.59245014149229,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49656933,"Live Nation Entertainment","Media",0.510068462490051,0.25,-0.095844,9.259130536145614,-0.0172358506,0.0,3.9749213828703582,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80542798,"Charles Schwab","Financials",0.5440522561906247,0.5,0.007826,10.373491181781864,0.0269802569,1.4142135623730951,6.2048368229954285,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
87621488,"Sempra Energy","Energy",0.4360348001774982,0.25,0.025805,9.544595867727551,0.0421994991,0.0,4.969909455915671,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99140308,"L Brands","Retailing",0.518270899712502,0.25,0.107969,11.00126616045566,0.0350410509,1.0,6.268971207462991,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
40920640,"DaVita","Health Care",0.4751751213975048,0.25,0.062644,11.082142548877776,0.0235784224,1.7320508075688772,5.215361924162119,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10475154,"Illinois Tool Works","Industrials",0.4649305327960642,0.0,0.117951,10.714417768752456,0.0173903789,0.0,7.752418977325722,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
78271153,"Automatic Data Processing","Business Services",0.4820082280983861,0.75,0.042051,10.968198289528557,0.036071166,1.0,7.752418977325722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4584516,"Texas Instruments","Technology",0.41153448471608,0.25,0.198192,10.30118927002646,0.0381175492,0.0,9.08845421400141,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73624301,"Stanley Black & Decker","Household Products",0.4241647312125278,0.0,0.055484,10.87804719253426,0.0277194496,1.0,10.96813566655701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2313883,"BlackRock","Financials",0.4096221333262427,0.5,0.020724,9.717157974344635,0.027146034,0.0,5.787918451395113,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1132045,"Applied Materials","Technology",0.4604859221220678,0.5,0.14142,10.085809109330082,0.0307475411,0.0,5.856620185738529,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83409422,"Truist Financial","Financials",0.4962340130846779,0.5,0.009145,10.915088464214609,0.0836219336,0.0,7.245688373094719,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
93682208,"Stryker","Health Care",0.3747760105926302,0.25,0.057037,10.596634733096073,0.0224395017,0.0,8.683317338436964,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13833149,"Booking Holdings","Technology",0.4761486650045506,0.25,0.016752,10.181119289134408,0.0122655123,1.0,4.78539444560216,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44690539,"C.H. Robinson Worldwide","Transportation",0.382601456710763,0.25,0.086004,9.608310798322089,0.0051739066,0.0,4.878524367060187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40335925,"Waste Management","Business Services",0.4493894826548613,0.25,0.057542,10.712193073730344,0.0295878625,0.0,5.10881590977792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
45407176,"Nordstrom","Retailing",0.4659967198403772,0.25,-0.053307,11.225243392518449,0.0511170822,1.4142135623730951,8.648699324175862,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
83800849,"American Electric Power","Energy",0.4428963866689156,0.25,0.02479,9.76468514965567,0.0285271986,0.0,10.709808588392232,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16065958,"Colgate-Palmolive","Household Products",0.1669147372554955,0.0,0.153009,10.442900633154032,0.0462536697,0.0,9.904544411531509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
97338549,"Aramark","Business Services",0.4193843018271779,0.25,-0.017129,12.251643347072632,0.0185562522,1.0,3.88587184554509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
52256752,"XPO Logistics","Transportation",0.1424855848371007,0.5,0.021866,11.512925464970229,-0.0056277056,1.0,4.5934736311423405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
63926746,"Cognizant Technology Solutions","Technology",0.4080820455055465,0.5,0.089994,12.58621994565405,0.0404692795,0.0,5.761944116355173,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20127012,"Mastercard","Business Services",0.6797948209471868,0.5,0.162408,9.830916859701292,0.0333300161,0.0,7.44983221287567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
91013737,"Salesforce","Technology",0.4157788256547503,0.5,0.004683,10.90700130566835,0.0632009753,0.0,4.722287581247038,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49714782,"PayPal Holdings","Business Services",0.4738502537442094,0.5,0.035206,10.0519075576544,0.0217893218,0.0,2.5099800796022267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
