"firmhash","firm","sector","reputation_score_2020","composite_relational_ig_practises","composite_formal_ig_practises","return_on_assets","log_n_employees","csr_index","logmin_n_data_breaches","sqrt_age_in_years","dummy_sector_Health Care","dummy_sector_Technology","dummy_sector_Media","dummy_sector_Energy","dummy_sector_Financials","dummy_sector_Retailing","dummy_sector_Industrials","dummy_sector_Business Services","dummy_sector_Household Products","dummy_sector_Transportation","dummy_sector_Telecommunications","young_firm"
61421604,"Boston Scientific","Health Care",6.52,0.47433756201298083,0.25,0.023006,10.491274217438248,0.0206765935,0.6931471805599453,6.48074069840786,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
59476916,"Nvidia","Technology",6.97,0.51589287109493,0.5,0.127993,9.530610634021116,0.0773589756,1.0986122886681098,4.8270073544588685,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
37791241,"IQVIA Holdings","Health Care",6.67,0.38814962609400805,0.5,0.021175,11.112447898373103,0.0539234712,0.0,2.1447610589527217,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
28049975,"Leidos Holdings","Technology",5.89,0.4540629971001457,0.5,0.059134,10.51867319162636,0.0337525501,0.0,3.9749213828703582,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
94835721,"Discovery","Media",6.25,0.32356004421807794,0.0,0.05131,9.126958763037132,0.0141306331,0.0,3.6193922141707713,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
31897534,"Adobe","Technology",7.39,0.6520517879596573,0.75,0.128628,10.021981446583917,0.066709238,1.0986122886681098,4.909175083453431,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
13079849,"Universal Health Services","Health Care",6.4,0.22606897505476653,0.5,0.067575,11.277835842637618,-0.0078770902,0.6931471805599453,6.511528238439882,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
54537981,"Xcel Energy","Energy",6.88,0.21563787831836437,0.5,0.025238,9.332115428902103,0.0678227264,0.0,10.59245014149229,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
49656933,"Live Nation Entertainment","Media",6.35,0.4931490866440944,0.25,-0.095844,9.259130536145614,-0.0172358506,0.0,3.9749213828703582,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
80542798,"Charles Schwab","Financials",7.13,0.5345113691979264,0.5,0.007826,10.373491181781864,0.0269802569,1.0986122886681098,6.196773353931867,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
87621488,"Sempra Energy","Energy",6.01,0.4247901508265177,0.25,0.025805,9.544595867727551,0.0421994991,0.0,4.959838707054898,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
99140308,"L Brands","Retailing",5.63,0.5076972258885366,0.25,0.107969,11.00126616045566,0.0350410509,0.6931471805599453,6.260990336999411,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
40920640,"DaVita","Health Care",6.0,0.4612176356558326,0.25,0.062644,11.082142548877775,0.0235784224,1.3862943611198906,5.215361924162119,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10475154,"Illinois Tool Works","Industrials",6.28,0.45250489431970703,0.0,0.117951,10.714417768752456,0.0173903789,0.0,7.745966692414834,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
78271153,"Automatic Data Processing","Business Services",6.8,0.4718043086597587,0.75,0.042051,10.968198289528557,0.036071166,0.6931471805599453,7.752418977325722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
4584516,"Texas Instruments","Technology",6.7,0.4004046092380973,0.25,0.198192,10.301189270026459,0.0381175492,0.0,9.08845421400141,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
73624301,"Stanley Black & Decker","Household Products",7.25,0.4101294035120914,0.0,0.055484,10.87804719253426,0.0277194496,0.6931471805599453,10.96813566655701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2313883,"BlackRock","Financials",7.71,0.39634881682190126,0.5,0.020724,9.717157974344635,0.027146034,0.0,5.779273310719955,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1132045,"Applied Materials","Technology",6.66,0.44776452714839954,0.5,0.14142,10.085809109330082,0.0307475411,0.0,5.848076606885378,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
83409422,"Truist Financial","Financials",6.5,0.48351249987987477,0.5,0.009145,10.915088464214607,0.0836219336,0.0,7.245688373094719,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
93682208,"Stryker","Health Care",6.44,0.363321943831208,0.25,0.057037,10.596634733096073,0.0224395017,0.0,8.683317338436964,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13833149,"Booking Holdings","Technology",6.22,0.462248553100285,0.25,0.016752,10.181119289134408,0.0122655123,0.6931471805599453,4.774934554525329,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
