"firmhash","firm","url","ranking","industry","sector","include","ranklabel"
74910338,"Dominion Energy","https://www.dominionenergy.com",197,"Electric and Gas Utilities","Energy",True,"1-200"
52256752,"XPO Logistics","https://www.xpo.com",196,"Trucking, Transportation, Logistics","Transportation",True,"1-200"
63926746,"Cognizant Technology Solutions","https://www.cognizant.com",194,"Information Technology Services","Technology",True,"1-200"
20127012,"Mastercard","https://www.mastercard.com",191,"Consumer Credit Card and Related Services","Business Services",True,"1-200"
91013737,"Salesforce","https://www.salesforce.com",190,"Computer Software","Technology",True,"1-200"
21731504,"EOG Resources","https://www.eogresources.com",186,"Mining, Crude-Oil Production","Energy",True,"1-200"
49714782,"PayPal Holdings","https://www.paypal.com",182,"Consumer Credit Card and Related Services","Business Services",True,"1-200"
2257066,"Jones Lang LaSalle (JLL)","https://www.us.jll.com",179,"Real Estate","Financials",True,"1-200"
18164447,"Emerson Electric","https://www.emerson.com",176,"Industrial Machinery","Industrials",True,"1-200"
23104382,"Kimberly-Clark","https://www.kimberly-clark.com",175,"Soaps and Cosmetics","Household Products",True,"1-200"
67426216,"Tenet Healthcare","https://www.tenethealth.com",174,"Health Care: Medical Facilities","Health Care",True,"1-200"
38270491,"NextEra Energy","https://www.nexteraenergy.com",172,"Electric and Gas Utilities","Energy",True,"1-200"
7096877,"Kohl’s","https://www.kohls.com",165,"General Merchandisers","Retailing",True,"1-200"
19452525,"Netflix","https://www.netflix.com",164,"Entertainment","Media",True,"1-200"
97306865,"Whirlpool","https://www.whirlpoolcorp.com",162,"Home Equipment, Furnishings","Industrials",True,"1-200"
95680362,"Danaher","https://www.danaher.com",161,"Medical Products and Equipment","Health Care",True,"1-200"
29577074,"Bank of New York Mellon","https://www.bnymellon.com",159,"Commercial Banks","Financials",True,"1-200"
67583415,"AutoNation","https://www.autonation.com",154,"Specialty Retailers","Retailing",True,"1-200"
47147965,"PNC Financial Services Group","https://www.pnc.com",151,"Superregional Banks","Financials",True,"1-200"
62258152,"Union Pacific","https://www.up.com",149,"Trucking, Transportation, Logistics","Transportation",True,"1-200"
26738076,"Occidental Petroleum","https://www.oxy.com",148,"Mining, Crude-Oil Production","Energy",True,"1-200"
41405358,"Aflac","https://www.aflac.com",146,"Insurance: Life and Health","Financials",True,"1-200"
99974471,"Southwest Airlines","https://www.southwest.com",141,"Airlines","Transportation",True,"1-200"
43863760,"Visa","https://usa.visa.com",137,"Consumer Credit Card and Related Services","Business Services",True,"1-200"
53578149,"Penske Automotive Group","https://www.penskeautomotive.com",136,"Specialty Retailers","Retailing",True,"1-200"
56444265,"Amgen","https://www.amgen.com",135,"Pharmaceuticals","Health Care",True,"1-200"
97012135,"CBRE Group","https://www.cbre.com",128,"Real Estate","Financials",True,"1-200"
28580986,"Qualcomm","https://www.qualcomm.com",126,"Semiconductors","Technology",True,"1-200"
78257680,"Duke Energy","https://www.duke-energy.com",123,"Electric and Gas Utilities","Energy",True,"1-200"
40232297,"Thermo Fisher Scientific","https://www.thermofisher.com",119,"Medical Products and Equipment","Technology",True,"1-200"
44470487,"Bristol-Myers Squibb","https://www.bms.com",115,"Pharmaceuticals","Health Care",True,"1-200"
31261614,"U.S. Bancorp","https://www.usbank.com",113,"Superregional Banks","Financials",True,"1-200"
38807133,"Hewlett Packard Enterprise","https://www.hpe.com",109,"Computers","Technology",True,"1-200"
42046784,"Travelers Cos.","https://www.travelers.com",106,"Insurance: Property and Casualty","Financials",True,"1-200"
81079250,"Abbott Laboratories","https://www.abbott.com",104,"Medical Products and Equipment","Health Care",True,"1-200"
98041190,"Northwestern Mutual","https://www.northwesternmutual.com",102,"Insurance: Life and Health","Financials",True,"1-200"
69795220,"AbbVie","https://www.abbvie.com",99,"Pharmaceuticals","Health Care",True,"1-200"
65808664,"Capital One Financial","https://www.capitalone.com",97,"Consumer Credit Card and Related Services","Financials",True,"1-200"
38940501,"Exelon","https://www.exeloncorp.com",95,"Electric and Gas Utilities","Energy",True,"1-200"
91650972,"USAA","https://www.usaa.com",94,"Insurance: Property and Casualty","Financials",True,"1-200"
10238564,"ConocoPhillips","https://www.conocophillips.com",93,"Mining, Crude-Oil Production","Energy",True,"1-200"
99007911,"Honeywell International","https://www.honeywell.com",92,"Electronics","Industrials",True,"1-200"
47744325,"Massachusetts Mutual Life","https://www.massmutual.com",89,"Insurance: Life and Health","Financials",True,"1-200"
10940099,"Progressive","https://www.progressive.com",86,"Insurance: Property and Casualty","Financials",True,"1-200"
71942107,"Deere","https://www.deere.com",84,"Construction and Farm Machinery","Industrials",True,"1-200"
31281210,"TIAA","https://www.tiaa-cref.org",81,"Insurance: Life and Health","Financials",True,"1-200"
24984086,"TJX","https://www.tjx.com",80,"Specialty Retailers","Retailing",True,"1-200"
60987513,"Best Buy","https://investors.bestbuy.com/investor-relations/overview/default.aspx",75,"Specialty Retailers","Retailing",True,"1-200"
62824499,"New York Life Insurance","https://www.newyorklife.com",73,"Insurance: Life and Health","Financials",True,"1-200"
77223592,"Allstate","https://www.allstate.com",72,"Insurance: Property and Casualty","Financials",True,"1-200"
11663411,"Merck","https://www.merck.com",69,"Pharmaceuticals","Health Care",True,"1-200"
33131762,"Delta Air Lines","https://www.delta.com",68,"Airlines","Transportation",True,"1-200"
39511968,"American Express","https://www.americanexpress.com",67,"Consumer Credit Card and Related Services","Financials",True,"1-200"
89802512,"Pfizer","https://www.pfizer.com",64,"Pharmaceuticals","Health Care",True,"1-200"
93968555,"Cisco Systems","https://www.cisco.com",63,"Network and Other Communications Equipment","Technology",True,"1-200"
81280069,"Caterpillar","https://www.caterpillar.com",62,"Construction and Farm Machinery","Industrials",True,"1-200"
92536935,"Morgan Stanley","https://www.morganstanley.com",61,"Megabanks","Financials",True,"1-200"
48599151,"Goldman Sachs Group","https://www.goldmansachs.com",60,"Megabanks","Financials",True,"1-200"
94341056,"HP","https://www8.hp.com",58,"Computers","Technology",True,"1-200"
92380288,"Humana","https://www.humana.com",52,"Health Care: Insurance and Managed Care","Health Care",True,"1-200"
48056767,"Procter & Gamble","https://www.pginvestor.com",50,"Soaps and Cosmetics","Household Products",True,"1-200"
55529641,"Walt Disney","https://www.thewaltdisneycompany.com",49,"Entertainment","Media",True,"1-200"
31132966,"FedEx","https://www.fedex.com",47,"Delivery","Transportation",True,"1-200"
79142021,"Facebook","https://investor.fb.com",46,"Interactive Media and Services","Technology",True,"1-200"
56495473,"Intel","https://www.intel.com",45,"Semiconductors and Other Electronic Components","Technology",True,"1-200"
90714086,"UPS","https://www.ups.com",43,"Delivery","Transportation",True,"1-200"
3894558,"Centene","https://www.centene.com",42,"Health Care: Insurance and Managed Care","Health Care",True,"1-200"
73313709,"IBM","https://www.ibm.com",38,"Information Technology Services","Technology",True,"1-200"
69858041,"Target","https://corporate.target.com",37,"General Merchandisers","Retailing",True,"1-200"
55229784,"State Farm Insurance","https://www.statefarm.com",36,"Insurance: Property and Casualty (Mutual)","Financials",True,"1-200"
16922709,"Johnson & Johnson","https://www.jnj.com",35,"Pharmaceuticals","Health Care",True,"1-200"
83192852,"Dell Technologies","https://www.delltechnologies.com",34,"Computers","Technology",True,"1-200"
96185568,"Citigroup","https://www.citigroup.com",31,"Megabanks","Financials",True,"1-200"
31743452,"Anthem","https://www.antheminc.com",29,"Health Care: Insurance and Managed Care","Health Care",True,"1-200"
36053009,"Home Depot","https://www.homedepot.com",26,"Specialty Retailers","Retailing",True,"1-200"
4802185,"Bank of America","https://www.bankofamerica.com",25,"Megabanks","Financials",True,"1-200"
56358397,"Microsoft","https://www.microsoft.com",21,"Computer Software","Technology",True,"1-200"
25821083,"Verizon Communications","https://www.verizon.com",20,"Telecommunications","Telecommunications",True,"1-200"
69943097,"JPMorgan Chase","https://www.jpmorganchase.com",17,"Megabanks","Financials",True,"1-200"
26299420,"Cardinal Health","https://www.cardinalhealth.com",16,"Wholesalers: Health Care","Health Care",True,"1-200"
46807785,"Costco Wholesale","https://www.costco.com",14,"General Merchandisers","Retailing",True,"1-200"
76661259,"Alphabet","https://www.abc.xyz",11,"Internet Services and Retailing","Technology",True,"1-200"
20885145,"AmerisourceBergen","https://www.amerisourcebergen.com",10,"Wholesalers: Health Care","Health Care",True,"1-200"
10087241,"AT&T","https://www.att.com",9,"Telecommunications","Telecommunications",True,"1-200"
23217707,"McKesson","https://www.mckesson.com",8,"Wholesalers: Health Care","Health Care",True,"1-200"
27610884,"UnitedHealth Group","https://www.unitedhealthgroup.com",7,"Health Care: Insurance and Managed Care","Health Care",True,"1-200"
51333781,"Berkshire Hathaway","https://www.berkshirehathaway.com",6,"Insurance: Property and Casualty","Financials",True,"1-200"
42703456,"CVS Health","https://www.cvshealth.com",5,"Health Care: Pharmacy and Other Services","Health Care",True,"1-200"
24788477,"Apple","https://www.apple.com",4,"Computers","Technology",True,"1-200"
18101757,"Amazon","https://www.amazon.com",2,"Internet Services and Retailing","Retailing",True,"1-200"
7268382,"Walmart","https://www.stock.walmart.com",1,"General Merchandisers","Retailing",True,"1-200"
