"firmhash","firm","url","ranking","industry","sector","revenue_in_millions","profits_in_millions","market_value_in_millions","n_employees","reputation_score_2020","reputation_score_2019","include","ranklabel"
8096816,"Goodyear Tire & Rubber","https://www.goodyear.com",216,"Motor Vehicles & Parts","Motor Vehicles & Parts",14745.0,311.0,1354.2,63000,"","",False,"201-300"
15422413,"Estée Lauder","https://www.elcompanies.com",215,"Soaps and Cosmetics","Household Products",13961.0,612.0,92289.0,48000,"","",True,"201-300"
93682208,"Stryker","https://www.stryker.com",214,"Medical Products and Equipment","Health Care",14351.0,1599.0,92148.0,40000,6.44,6.16,True,"201-300"
7205705,"Ecolab","https://www.ecolab.com",213,"Chemicals","Chemicals",14314.0,1076.0,62336.0,50200,6.75,6.6,False,"201-300"
49336259,"Loews","https://www.loews.com",212,"Insurance: Property and Casualty (Stock)","Financials",14931.0,932.0,10023.0,18605,"","",True,"201-300"
70309399,"Omnicom Group","https://www.omnicomgroup.com",211,"Advertising, marketing","Business Services",14953.7,1339.1,11906.0,70000,"","",True,"201-300"
13833149,"Booking Holdings","https://www.bookingholdings.com",210,"Internet Services and Retailing","Technology",8897.0,1395.0,88465.0,26400,6.22,7.98,True,"201-300"
76480014,"PPG Industries","https://www.ppg.com",209,"Chemicals","Chemicals",13834.0,1059.0,34144.0,47000,6.49,6.43,False,"201-300"
44690539,"C.H. Robinson Worldwide","https://www.chrobinson.com",208,"Trucking, Transportation, Logistics","Transportation",16207.0,506.0,13432.0,14888,6.36,6.21,True,"201-300"
40335925,"Waste Management","https://www.wm.com",207,"Diversified Outsourcing Services","Business Services",14997.0,1505.0,48621.0,44900,5.61,6.13,True,"201-300"
21459150,"Jacobs Engineering Group","https://www.jacobs.com",206,"Engineering, Construction","Engineering & Construction",13567.0,492.0,14557.0,55000,6.89,6.68,False,"201-300"
45407176,"Nordstrom","https://shop.nordstrom.com",205,"General Merchandisers","Retailing",11607.0,531.0,5658.0,75000,6.46,7.71,True,"201-300"
83800849,"American Electric Power","https://www.aep.com",204,"Electric and Gas Utilities","Energy",14924.0,1919.0,40084.0,17408,6.59,5.91,True,"201-300"
16065958,"Colgate-Palmolive","https://www.colgatepalmolive.com",203,"Soaps and Cosmetics","Household Products",16471.0,2695.0,68745.0,34300,6.96,7.16,True,"201-300"
82435358,"Ross Stores","https://www.rossstores.com",202,"Specialty Retailers: Apparel","Retailing",16039.1,1660.9,30952.3,92500,"","",True,"201-300"
72507226,"Principal Financial","https://www.principal.com",201,"Insurance: Life and Health","Financials",14742.0,1396.0,14748.0,17601,"","",True,"201-300"
97338549,"Aramark","https://www.aramark.com",200,"Diversified Outsourcing Services","Business Services",12830.0,462.0,9236.0,209325,5.71,"",True,"1-200"
85529201,"Gap","https://www.gapinc.com",199,"Specialty Retailers: Apparel","Retailing",16383.0,351.0,2614.0,129000,"","",True,"1-200"
44689828,"Western Digital","https://www.westerndigital.com",198,"Computers","Technology",16618.0,34.0,15766.0,63800,"","",True,"1-200"
74910338,"Dominion Energy","https://www.dominionenergy.com",197,"Electric and Gas Utilities","Energy",16717.0,74.0,58397.0,19100,6.63,6.42,True,"1-200"
52256752,"XPO Logistics","https://www.xpo.com",196,"Trucking, Transportation, Logistics","Transportation",15723.0,92.0,11447.0,100000,6.69,6.64,True,"1-200"
47955590,"Marsh & McLennan","https://www.mmc.com",195,"Diversified Financials","Financials",16652.0,1742.0,43567.0,76000,"","",True,"1-200"
63926746,"Cognizant Technology Solutions","https://www.cognizant.com",194,"Information Technology Services","Technology",16783.0,1842.0,25495.2,292500,6.04,5.93,True,"1-200"
60090966,"Molina Healthcare","https://www.molinahealthcare.com",193,"Health Care: Insurance and Managed Care","Health Care",16829.0,737.0,8500.8,10000,"","",True,"1-200"
9065072,"General Mills","https://www.generalmills.com",192,"Consumer Food Products","Food, Beverages & Tobacco",18287.0,2408.0,33837.0,35000,6.41,6.17,False,"1-200"
20127012,"Mastercard","https://www.mastercard.com",191,"Consumer Credit Card and Related Services","Business Services",15031.0,6411.0,333881.0,18600,7.56,7.39,True,"1-200"
91013737,"Salesforce","https://www.salesforce.com",190,"Computer Software","Technology",20286.0,3557.0,204547.0,54557,7.53,7.79,True,"1-200"
69027748,"PG&E","https://www.pgecorp.com",189,"Utilities: Gas and Electric","Energy",17129.0,7656.0,4762.8,23000,"","",True,"1-200"
7350014,"Lincoln National","https://www.lfg.com",188,"Insurance: Life, Health (stock)","Financials",17258.0,886.0,5142.2,11357,"","",True,"1-200"
44037196,"BD","https://www.bd.com",187,"Medical Products and Equipment","Health Care",17290.0,1233.0,65554.0,70093,"","",True,"1-200"
21731504,"EOG Resources","https://www.eogresources.com",186,"Mining, Crude-Oil Production","Energy",17380.0,2734.9,20907.4,2900,6.04,6.47,True,"1-200"
74923080,"Tenneco","https://www.tenneco.com",185,"Motor Vehicles & Parts","Motor Vehicles & Parts",17450.0,334.0,292.3,78000,"","",False,"1-200"
84193247,"HollyFrontier","https://www.hollyfrontier.com",184,"Petroleum Refining","Energy",17486.6,772.4,3967.8,4074,"","",True,"1-200"
65655995,"D.R. Horton","https://www.drhorton.com",183,"Homebuilders","Engineering & Construction",22224.0,2734.0,27388.0,9716,6.09,"",False,"1-200"
49714782,"PayPal Holdings","https://www.paypal.com",182,"Consumer Credit Card and Related Services","Business Services",20299.0,3142.0,286198.0,23200,7.21,7.13,True,"1-200"
17971338,"Fluor","https://www.fluor.com",181,"Engineering, Construction","Engineering & Construction",17817.2,1305.0,968.6,53349,"","",False,"1-200"
83488089,"Sherwin-Williams","https://www.sherwin-williams.com",180,"Chemicals","Chemicals",17900.8,1541.3,42185.8,61111,5.71,"",False,"1-200"
2257066,"Jones Lang LaSalle (JLL)","https://www.us.jll.com",179,"Real Estate","Financials",17145.0,427.0,7907.0,93000,6.43,6.24,True,"1-200"
90537930,"CDW","https://www.cdw.com",178,"Information Technology Services","Technology",18032.4,736.8,13316.3,9900,"","",True,"1-200"
74943138,"WestRock","https://www.westrock.com",177,"Packaging, Containers","Materials",17577.0,677.0,11971.0,49300,6.79,6.93,False,"1-200"
18164447,"Emerson Electric","https://www.emerson.com",176,"Industrial Machinery","Industrials",16785.0,1965.0,50469.0,83500,5.94,6.63,True,"1-200"
23104382,"Kimberly-Clark","https://www.kimberly-clark.com",175,"Soaps and Cosmetics","Household Products",19140.0,2352.0,44691.0,40000,6.8,7.05,True,"1-200"
67426216,"Tenet Healthcare","https://www.tenethealth.com",174,"Health Care: Medical Facilities","Health Care",18479.0,232.0,1501.8,101104,5.77,6.12,True,"1-200"
8545348,"CarMax","https://www.carmax.com",173,"Automotive Retailing, Services","Retailing",19146.0,842.4,8795.0,25946,"","",True,"1-200"
38270491,"NextEra Energy","https://www.nexteraenergy.com",172,"Electric and Gas Utilities","Energy",17997.0,2919.0,164661.0,14800,7.55,7.35,True,"1-200"
99555249,"Genuine Parts","https://www.genpt.com",171,"Wholesalers: Diversified","Wholesalers",18436.0,192.0,14431.0,55000,5.67,"",False,"1-200"
3394254,"Synchrony Financial","https://www.synchronyfinancial.com",170,"Diversified Financials","Financials",19461.0,3747.0,9870.8,16500,"","",True,"1-200"
80443190,"Avnet","https://www.avnet.com",169,"Wholesalers: Electronics and Office Equipment","Wholesalers",19518.6,176.3,2505.9,15500,"","",False,"1-200"
63267552,"Performance Food Group","https://www.pfgc.com",168,"Wholesalers: Food and Grocery","Wholesalers",19743.5,166.8,2896.7,18000,"","",False,"1-200"
16862228,"Altria Group","https://www.altria.com",167,"Tobacco","Food, Beverages & Tobacco",19796.0,1293.0,71863.0,7300,"","",False,"1-200"
66042262,"Lear","https://www.lear.com",166,"Motor Vehicle Parts","Motor Vehicles & Parts",16620.0,83.0,10058.0,164100,6.17,7.13,False,"1-200"
7096877,"Kohl’s","https://www.kohls.com",165,"General Merchandisers","Retailing",19974.0,691.0,2265.0,79500,5.61,7.01,True,"1-200"
19452525,"Netflix","https://www.netflix.com",164,"Entertainment","Media",24996.0,2761.0,259043.0,9400,7.32,7.64,True,"1-200"
29831900,"AECOM","https://www.aecom.com",163,"Engineering, Construction","Engineering & Construction",13240.0,187.0,8085.0,54000,6.26,6.6,False,"1-200"
97306865,"Whirlpool","https://www.whirlpoolcorp.com",162,"Home Equipment, Furnishings","Industrials",19456.0,1081.0,12242.0,78000,6.96,6.92,True,"1-200"
95680362,"Danaher","https://www.danaher.com",161,"Medical Products and Equipment","Health Care",22284.0,3646.0,168395.0,60000,6.23,5.93,True,"1-200"
44365702,"Hartford Financial Services Group","https://www.thehartford.com",160,"Insurance: Property and Casualty (Stock)","Financials",20740.0,2085.0,12624.8,19500,"","",True,"1-200"
29577074,"Bank of New York Mellon","https://www.bnymellon.com",159,"Commercial Banks","Financials",20822.0,4441.0,29808.5,48400,6.84,6.67,True,"1-200"
7616789,"ManpowerGroup","https://www.manpowergroup.com",158,"Temporary Help","Business Services",20863.5,465.7,3109.4,28000,"","",True,"1-200"
5534641,"Marriott International","https://www.marriott.com",157,"Hotels, Casinos, and Resorts","Hotels, Restaurants & Leisure",13770.0,176.0,41103.0,174000,7.09,7.56,False,"1-200"
49952165,"McDonald’s","https://corporate.mcdonalds.com",156,"Food Services","Hotels, Restaurants & Leisure",19208.0,4731.0,159179.0,205000,6.75,6.81,False,"1-200"
85302124,"DXC Technology","https://www.dxc.technology",155,"Information Technology Services","Technology",21184.0,1257.0,3311.1,130000,"","",True,"1-200"
67583415,"AutoNation","https://www.autonation.com",154,"Specialty Retailers","Retailing",20154.0,388.0,6807.0,25000,6.07,5.54,True,"1-200"
7282506,"Southern Company","https://www.southerncompany.com",153,"Electric and Gas Utilities","Energy",20172.0,3173.0,64062.0,27943,6.31,"",True,"1-200"
71662081,"DuPont","https://www.dupont.com",152,"Chemicals","Chemicals",21512.0,498.0,25213.1,35000,"","",False,"1-200"
47147965,"PNC Financial Services Group","https://www.pnc.com",151,"Superregional Banks","Financials",18262.0,7558.0,66208.0,50403,7.25,7.33,True,"1-200"
38587254,"Rite Aid","https://www.riteaid.com",150,"Food & Drug Stores","Food & Drug Stores",21674.4,422.2,822.3,42645,"","",False,"1-200"
