"firmhash","firm","url","ranking","industry","sector","reputation_score","include","ranklabel"
79760457,"Pool","https://www.poolcorp.com",747,"Wholesalers: Diversified","Wholesalers","",False,"501-1000"
76290674,"Digital Realty Trust","https://www.digitalrealty.com",746,"Real estate","","",False,"501-1000"
48221536,"Brinker International","https://www.brinker.com",745,"Food Services","Hotels, Restaurants & Leisure","",False,"501-1000"
97579387,"PriceSmart","https://www.pricesmart.com",744,"General Merchandisers","Retailing","",True,"501-1000"
25272841,"Varian Medical Systems","https://www.varian.com",743,"Medical Products and Equipment","Health Care","",True,"501-1000"
80443031,"Service Corp. International","https://www.sci-corp.com",742,"Miscellaneous","Business Services","",True,"501-1000"
39710651,"Regal Beloit","https://www.regalbeloit.com",741,"Electronics, Electrical Equip.","Industrials","",True,"501-1000"
88840962,"Zions Bancorp.","https://www.zionsbancorporation.com",740,"Commercial Banks","","",False,"501-1000"
41431043,"Garrett Motion","https://www.garrettmotion.com",739,"Motor Vehicles & Parts","Motor Vehicles & Parts","",False,"501-1000"
58683054,"Trimble","https://www.trimble.com",738,"Scientific,Photographic and Control Equipment","Technology","",True,"501-1000"
16364679,"Autodesk","https://www.autodesk.com",737,"Computer Software","Technology","6.23",True,"501-1000"
94339545,"Cinemark Holdings","https://www.cinemark.com",736,"Entertainment","Media","",True,"501-1000"
74058952,"Crane","https://www.craneco.com",735,"Industrial Machinery","Industrials","",True,"501-1000"
43233342,"Hyster-Yale Materials Handling","https://www.hyster-yale.com",734,"Industrial Machinery","Industrials","",True,"501-1000"
1269175,"MDC Holdings","https://www.mdcholdings.com",733,"Homebuilders","Engineering & Construction","",False,"501-1000"
92143529,"CIT Group","https://www.cit.com",732,"Commercial Banks","","",False,"501-1000"
56145983,"Stericycle","https://www.stericycle.com",731,"Waste Management","Business Services","",True,"501-1000"
20718046,"Brown-Forman","https://www.brown-forman.com",730,"Beverages","Food, Beverages & Tobacco","",False,"501-1000"
90591420,"LSC Communications","https://www.lsccom.com",729,"Publishing, Printing","Media","",True,"501-1000"
24552130,"Boyd Gaming","https://www.boydgaming.com",728,"Hotels, Casinos, Resorts","Hotels, Restaurants & Leisure","",False,"501-1000"
85967634,"Prologis","https://www.prologis.com",727,"Real estate","","",False,"501-1000"
42499749,"Cabot","https://www.cabotcorp.com",726,"Chemicals","Chemicals","",False,"501-1000"
13464929,"Dycom Industries","https://www.dycomind.com",725,"Engineering, Construction","Engineering & Construction","",False,"501-1000"
30576852,"PolyOne","https://www.polyone.com",724,"Chemicals","Chemicals","",False,"501-1000"
31059868,"Synopsys","https://www.synopsys.com",723,"Computer Software","Technology","",True,"501-1000"
94458621,"Red Hat","https://www.redhat.com",722,"Computer Software","Technology","",True,"501-1000"
59264779,"MSC Industrial Direct","https://www.mscdirect.com",721,"Wholesalers: Diversified","Wholesalers","",False,"501-1000"
3552171,"Darling Ingredients","https://www.darlingii.com",720,"Food Production","Food, Beverages & Tobacco","",False,"501-1000"
84253012,"Triumph Group","https://www.triumphgroup.com",719,"Aerospace & Defense","Aerospace & Defense","",False,"501-1000"
14618887,"Hologic","https://www.hologic.com",718,"Medical Products and Equipment","Health Care","",True,"501-1000"
37497127,"Hexion","https://www.hexion.com",717,"Chemicals","Chemicals","",False,"501-1000"
95317668,"Triple-S Management","https://www.triplesmanagement.com",716,"Health Care: Insurance and Managed Care","Health Care","",True,"501-1000"
40959460,"Aleris","https://www.aleris.com",715,"Metals","Materials","",False,"501-1000"
12531873,"Skyworks Solutions","https://www.skyworksinc.com",714,"Semiconductors and Other Electronic Components","Technology","",True,"501-1000"
38920319,"Carlyle Group","https://www.carlyle.com",713,"Securities","","",False,"501-1000"
71276846,"Granite Construction","https://www.graniteconstruction.com",712,"Engineering, Construction","Engineering & Construction","5.67",False,"501-1000"
50419531,"Scientific Games","https://www.scientificgames.com",711,"Hotels, Casinos, Resorts","Hotels, Restaurants & Leisure","",False,"501-1000"
66569529,"Puget Energy","https://www.pugetenergy.com",710,"Utilities: Gas and Electric","Energy","",True,"501-1000"
73476083,"Clean Harbors","https://www.cleanharbors.com",709,"Waste Management","Business Services","",True,"501-1000"
31623067,"WABCO Holdings","https://www.wabco-auto.com",708,"Motor Vehicles & Parts","Motor Vehicles & Parts","",False,"501-1000"
76885982,"Sanderson Farms","https://www.sandersonfarms.com",707,"Food Production","Food, Beverages & Tobacco","",False,"501-1000"
56410840,"Steelcase","https://www.steelcase.com",706,"Home Equipment, Furnishings","Household Products","6.97",True,"501-1000"
4360561,"Calumet Specialty Products Partners","https://www.calumetspecialty.com",705,"Petroleum Refining","Energy","",True,"501-1000"
92497628,"Twitter","https://www.twitter.com",704,"Interactive Media and Services","Technology","",True,"501-1000"
56873835,"ServiceNow","https://www.servicenow.com",703,"Computer Software","Technology","6.88",True,"501-1000"
83742461,"American Equity Investment Life Holding","https://www.american-equity.com",702,"Insurance: Life, Health (stock)","","",False,"501-1000"
34477255,"Pinnacle West Capital","https://www.pinnaclewest.com",701,"Utilities: Gas and Electric","Energy","",True,"501-1000"
13969311,"Applied Industrial Technologies","https://www.applied.com",700,"Wholesalers: Diversified","Wholesalers","",False,"501-1000"
23777144,"Pitney Bowes","https://www.pitneybowes.com",699,"Computers, Office Equipment","Technology","",True,"501-1000"
91182462,"Designer Brands","https://www.designerbrands.com",698,"Specialty Retailers: Apparel","Retailing","",True,"501-1000"
42006327,"Super Micro Computer","https://www.supermicro.com",697,"Computers, Office Equipment","Technology","",True,"501-1000"
62561697,"Sprague Resources","https://www.spragueenergy.com",696,"Oil and Gas Equipment, Services","Energy","",True,"501-1000"
85110904,"Medical Mutual of Ohio","https://www.medmutual.com",695,"Insurance: Life, Health (Mutual)","","",False,"501-1000"
63760976,"Ashland Global Holdings","https://www.ashland.com",694,"Chemicals","Chemicals","",False,"501-1000"
93625172,"Kar Auction Services","https://www.karauctionservices.com",693,"Wholesalers: Diversified","Wholesalers","",False,"501-1000"
64034139,"Equifax","https://www.equifax.com",692,"Financial Data Services","Business Services","",True,"501-1000"
